"logFC"	"logCPM"	"PValue"	"FDR"
"YAL064W-B"	13.2726230313358	6.67939121864771	0	0
"YAL065C"	12.7146012470786	6.12821948286986	0	0
"YGR201C"	-12.1769033648549	12.739725768063	0	0
"FLO9"	10.3667460692085	8.00833695187434	0	0
"YHB1"	-9.07402919702268	9.01243297602039	0	0
"FLO1"	8.49343366427418	9.62067154925801	0	0
"FIT2"	-8.06715359877142	6.72795140708721	0	0
"HXK1"	7.93658535438047	7.89175898356944	0	0
"ARO9"	7.56774486240432	9.01153042195394	0	0
"FLO11"	6.70581394570132	11.4661522304565	0	0
"FIT3"	-6.49257256959344	7.97318238363127	0	0
"ALD4"	5.64354069383877	8.35864542373175	0	0
"RTC3"	5.55066877698595	5.28023274193084	0	0
"FLO5"	5.476834070199	8.09626230612085	0	0
"TSL1"	5.11696579251455	7.17097580226295	0	0
"KRS1"	-5.04954024038374	9.18638421812359	0	0
"YGP1"	4.8218719312291	6.69337985750468	0	0
"CHA1"	-4.72317135629581	7.23078225676376	0	0
"HOR7"	4.71067042195461	8.9756163466635	0	0
"GPD1"	4.6889226374078	9.13473060355331	0	0
"GSY1"	4.6885229455967	5.73325709754253	0	0
"EMI2"	4.64544992055568	7.36226326653836	0	0
"GLK1"	4.46588343562493	7.47445956277279	0	0
"RDL1"	-4.39878561814593	6.84700718376231	0	0
"ZRT1"	-4.27246642379228	6.88034133550906	0	0
"TDH1"	-4.2564296298067	8.01711248861305	0	0
"GPH1"	4.07447197666882	5.61654695370507	0	0
"HXT7"	4.02488432777308	8.94406122305833	0	0
"IRC7"	3.98817356018901	7.23657816175366	0	0
"SIT1"	-3.86072331199158	6.94071673590748	0	0
"FRE4"	-3.79760021106312	6.30707890750633	0	0
"PNC1"	3.71107631841087	7.02246673076295	0	0
"GSY2"	3.65140969847285	5.8180694469153	0	0
"TPS2"	3.5978430319006	7.86813479803015	0	0
"HXT6"	3.55695886480031	8.40418238210556	0	0
"GPP2"	3.50699843027011	6.27474068937078	0	0
"HXT4"	3.48508999494272	8.79518134864772	0	0
"MMP1"	-3.35419523546856	6.24977216536229	0	0
"TPS1"	3.20593985889013	8.07565337558352	0	0
"FRE1"	-3.07148564960692	8.32170884527083	0	0
"YER053C-A"	3.04008027603916	5.97856769386608	0	0
"SER3"	3.01906939801657	7.16854089422883	0	0
"IMD2"	-2.86051635210292	6.84720072619669	0	0
"DUR1%2C2"	2.8438228534105	7.17527121688135	0	0
"PNS1"	2.8125696775531	7.07424278221693	0	0
"LYS20"	-2.80766073371352	7.57381810981315	0	0
"CAR1"	2.77402571171597	7.8255632720453	0	0
"YJL213W"	2.76348972404116	6.97648307600061	0	0
"SUC2"	2.74304284596961	6.96764209539506	0	0
"ENO1"	2.72633232828349	9.53079450821755	0	0
"YLR179C"	-2.70953325235307	8.57284792640796	0	0
"CAR2"	2.6663060905883	6.52761354250793	0	0
"PHO3"	-2.50301277863178	7.50336025578519	0	0
"LYS12"	-2.42410493707265	7.52834404577392	0	0
"PRY2"	2.40193113933765	6.8507718007392	0	0
"PLB2"	-2.39810819509983	9.5180086169072	0	0
"PHO84"	-2.27524218800877	9.27407445773873	0	0
"PTR2"	2.17506086380018	8.57603608279885	0	0
"UGP1"	2.15803370021389	8.47584917179018	0	0
"OLI1"	2.13700501011106	7.09459276908022	0	0
"LSP1"	2.1316852244364	8.42468336538813	0	0
"GNP1"	-2.0895778818945	8.647422618319	0	0
"GPX2"	2.02844851957295	7.57497223114724	0	0
"PGA3"	-2.00730991212196	7.36381695107662	0	0
"HPF1"	-1.98573225039458	9.38817396712236	0	0
"ACO2"	-1.94467444064242	7.4529577318358	0	0
"MRH1"	1.94002548244132	8.94464284940145	0	0
"CYC1"	1.92882784173007	7.90517024028366	0	0
"YDR134C"	1.87887683911317	9.56517945071758	0	0
"EIS1"	1.86447943988939	7.25053405280558	0	0
"CWP2"	1.86280500130937	10.3938781947026	0	0
"LYS4"	-1.81509754746282	7.97376826716829	0	0
"CTR3"	-1.8081084948986	7.2704909265742	0	0
"YIL169C"	-1.78574583180081	8.99679155928382	0	0
"INA1"	-1.71158141610307	9.9113163806235	0	0
