Origin	source_name	Oil	group
A_1	1-1	T-S	Y	A
A_2	1-19	T-S	Y	A
A_3	3-21	T-S	Y	A
A_4	15-12	T-S	Y	A
A_5	24-18	T-S	Y	A
X_1	4-2	C-S	N	X
X_2	4-22	C-S	N	X
X_3	9-25	C-S	N	X
X_4	9-27	C-S	N	X
X_5	16-13	C-S	N	X
B_1	6-23	T-L	Y	B
B_2	6-4	T-L	Y	B
B_3	7-24	T-L	Y	B
B_4	7-5	T-L	Y	B
B_5	10-26	T-L	Y	B
B_6	10-8	T-L	Y	B
B_7	11-27	T-L	Y	B
B_8	11-9	T-L	Y	B
B_9	12-10	T-L	Y	B
B_10	12-28	T-L	Y	B
B_11	18-14	T-L	Y	B
C_1	2-2	C-L	N	C
C_2	8-6	C-L	N	C
C_3	14-11	C-L	N	C
C_4	19-15	C-L	N	C
C_5	20-16	C-L	N	C
C_6	21-17	C-L	N	C
X_6	9-7	C-S	N	X
A_6	5-3	T-S	Y	A
